Sentence1	Sentence 2
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Who is responsible for IT security within your organisation (by job title)? 
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Please provide the following details for your top 5 clients? 
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Company Name? 
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Date established? 
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Description of Business Activites? 
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Date established? 
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Description of Business Activites? 
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Company Name? 
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Company Name 
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Description of Business Activites? 
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Company Name? 
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Description of Business Activites? 
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Company Name? 
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Please provide the following details for your top 5 clients? 
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Description of Business Activites? 
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Company Name? 
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Company Name? 
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Company Name? 
If NO to any of the above, please provide full details:	If yes, Please provide the name of the top 10 critical providers 
If NO to any of the above, please provide full details:	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
If NO to any of the above, please provide full details:	If you ticked on others, please specify? 
If NO to any of the above, please provide full details:	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
If NO to any of the above, please provide full details:	Please provide the following details for your top 5 clients? 
Insurance details	Company Name 
Insurance details	Who is responsible for IT security within your organisation (by job title)? 
Insurance details	If yes, Please provide the name of the top 10 critical providers? 
Insurance details	Website address? 
Insurance details	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
